,Year,tonnes per region
0,1800,0.0
1,1801,0.0
2,1802,0.0
3,1803,0.0
4,1804,0.0
5,1805,0.0
6,1806,0.0
7,1807,0.0
8,1808,0.0
9,1809,0.0
10,1810,0.0
11,1811,0.0
12,1812,0.0
13,1813,0.0
14,1814,0.0
15,1815,0.0
16,1816,0.0
17,1817,0.0
18,1818,0.0
19,1819,0.0
20,1820,0.0
21,1821,0.0
22,1822,0.0
23,1823,0.0
24,1824,0.0
25,1825,0.0
26,1826,0.0
27,1827,0.0
28,1828,0.0
29,1829,0.0
30,1830,0.0
31,1831,0.0
32,1832,0.0
33,1833,0.0
34,1834,0.0
35,1835,0.0
36,1836,0.0
37,1837,0.0
38,1838,0.0
39,1839,0.0
40,1840,0.0
41,1841,0.0
42,1842,0.0
43,1843,0.0
44,1844,0.0
45,1845,0.0
46,1846,0.0
47,1847,0.0
48,1848,0.0
49,1849,0.0
50,1850,0.0
51,1851,0.0
52,1852,0.0
53,1853,0.0
54,1854,0.0
55,1855,0.0
56,1856,0.0
57,1857,0.0
58,1858,0.002144934
59,1859,0.0034464440000000003
60,1860,0.003467965
61,1861,0.002670322
62,1862,0.0029429029999999998
63,1863,0.00324846
64,1864,0.003059125
65,1865,0.015886659
66,1866,0.021217780000000002
67,1867,0.019339426
68,1868,0.015229271999999999
69,1869,0.023106991999999996
70,1870,0.013767100999999999
71,1871,0.017285171
72,1872,0.021378097
73,1873,0.020888728999999998
74,1874,0.037682571
75,1875,0.06919619099999999
76,1876,0.06147751
77,1877,0.07198549500000001
78,1878,0.08619393
79,1879,0.081495318
80,1880,0.083986607
81,1881,0.088473354
82,1882,0.089852513
83,1883,0.096226689
84,1884,0.10447270900000001
85,1885,0.11405808699999999
86,1886,0.11673887000000001
87,1887,0.14794664500000002
88,1888,0.16777746999999998
89,1889,0.207042168
90,1890,0.22212064399999998
91,1891,0.26533977
92,1892,0.302271629
93,1893,0.33257155599999993
94,1894,0.38224615400000006
95,1895,0.44397828400000006
96,1896,0.48706041499999997
97,1897,0.508500179
98,1898,0.66157482
99,1899,0.6544800810000001
100,1900,0.698512707
101,1901,0.820666559
102,1902,0.8663762639999999
103,1903,0.925686
104,1904,1.0244424129999998
105,1905,1.077983112
106,1906,1.1955114800000002
107,1907,1.3287617019999998
108,1908,1.4131927099999997
109,1909,1.492410285
110,1910,1.568889646
111,1911,1.650192736
112,1912,1.697926861
113,1913,1.909275834
114,1914,2.0398871720000002
115,1915,1.961305837
116,1916,2.3055714699999994
117,1917,2.6647866139999996
118,1918,2.89539676
119,1919,3.394987919
120,1920,3.5265520980000002
121,1921,3.5159452780000002
122,1922,4.103389961
123,1923,4.621139931
124,1924,5.007228021999999
125,1925,5.202767527000001
126,1926,5.39432382
127,1927,5.717873788
128,1928,6.034674628000001
129,1929,6.119106518
130,1930,6.0045433610000005
131,1931,5.349868209
132,1932,5.200421009999999
133,1933,5.844679135000001
134,1934,9.132003415000002
135,1935,13.458964053999999
136,1936,29.337487761000002
137,1937,46.36822160399999
138,1938,48.467960129000005
139,1939,116.12069743
140,1940,121.13275918000002
141,1941,89.518632731
142,1942,66.82540109999998
143,1943,84.37878269699999
144,1944,100.65194110200001
145,1945,62.481046754
146,1946,87.660995222
147,1947,232.70512247000005
148,1948,58.253163223000016
149,1949,325.5734099009999
150,1950,46.951292136
151,1951,40.758359222
152,1952,33.533479687
153,1953,36.74389507
154,1954,53.106350674999995
155,1955,52.23509280200001
156,1956,47.689542238
157,1957,47.78843351999999
158,1958,55.068979555999995
159,1959,98.52650754799994
160,1960,109.17811517199998
161,1961,120.54666108299999
162,1962,132.703698669
163,1963,231.608375382
164,1964,245.05610608699996
165,1965,254.87950931400002
166,1966,242.17450299600003
167,1967,230.66638089599996
168,1968,228.39335746899994
169,1969,326.69640306099996
170,1970,360.8511504610001
171,1971,383.8913707509999
172,1972,402.16716268300013
173,1973,423.52473922400003
174,1974,371.60989989400014
175,1975,353.18733947699985
176,1976,356.538132715
177,1977,344.7952795319999
178,1978,365.39026776000003
179,1979,354.62100060200004
180,1980,337.5060247829999
181,1981,294.033748913
182,1982,285.813443832
183,1983,277.66433092899996
184,1984,284.4184055040001
185,1985,293.756248534
186,1986,296.25187886399993
187,1987,292.01600157000007
188,1988,307.96049474099993
189,1989,315.285129043
190,1990,304.05072183999994
191,1991,295.63835436399995
192,1992,315.39433145299995
193,1993,333.30004854699996
194,1994,334.375143596
195,1995,333.48458479499993
196,1996,319.4351680540001
197,1997,331.21390977299995
198,1998,327.487525885
199,1999,318.73247657799993
200,2000,339.641913794
201,2001,334.482436684
202,2002,328.908302097
203,2003,335.90507105399996
204,2004,336.65128959299994
205,2005,341.64758317899975
206,2006,348.575789884
207,2007,352.27979339199993
208,2008,356.61781084999996
209,2009,344.56000381800004
210,2010,347.3325885340001
211,2011,352.36151391400006
212,2012,359.818674868
213,2013,350.11713287599997
214,2014,359.27282075200014
215,2015,370.796352205
216,2016,370.502517814
217,2017,374.07054127800006
